Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48326036,27.6084298,27.77263321,27.92133227,28.0365776,28.14225209
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.56934607,27.7175493,27.82566857,27.81614204,27.75798649,27.69312331
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.48281352,27.60858235,27.77025438,27.88716649,27.97726344,28.066008
Kuwait,KW,KWT,Transition Pathways,Surface temperature,50th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.27378004,27.56384376,27.71234073,27.84320943,27.85875113,27.83796225,27.82122207
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21598,27.36154,27.48356,27.59949,27.66238,27.70124,27.73067
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21556,27.35752,27.46972,27.61377,27.74154,27.85474,27.98559
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21561,27.35466,27.47263,27.62872,27.7183,27.77041,27.79786
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21569,27.35685,27.47028,27.6147,27.72014,27.81275,27.90028
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21539,27.35398,27.46463,27.57842,27.62134,27.63024,27.60329
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21592,27.35992,27.47626,27.61438,27.72354,27.8269,27.93354
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.21607,27.36634,27.48417,27.57992,27.60801,27.61576,27.57554
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20761,27.37243,27.49799,27.61237,27.67051,27.69194,27.7086
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20733,27.36991,27.47423,27.6208,27.74221,27.83236,27.92878
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20733,27.36668,27.47454,27.6459,27.72795,27.75569,27.77222
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20748,27.36977,27.47429,27.63712,27.73794,27.79992,27.84801
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20762,27.37132,27.498,27.56893,27.57619,27.55285,27.52413
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20771,27.37188,27.47309,27.61555,27.71194,27.77727,27.84302
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,MESSAGEix-GLOBIOM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20762,27.37406,27.50198,27.58015,27.58921,27.55622,27.53571
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36226439,27.4733686,27.59197745,27.63351661,27.63247967,27.63653726
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36161663,27.46628442,27.60752509,27.71572715,27.8028713,27.89959593
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36161663,27.46628442,27.60560734,27.67789838,27.69165982,27.66511373
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36161663,27.46628442,27.60438774,27.69756927,27.7609169,27.81578374
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36773346,27.46598831,27.53226268,27.48357849,27.41266195,27.34468503
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.3598854,27.46389353,27.59055854,27.66140201,27.70852986,27.74432714
Kuwait,KW,KWT,Transition Pathways,Surface temperature,5th percentile,REMIND-MAgPIE,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,27.20414618,27.36243109,27.46766402,27.54623744,27.52765629,27.47865913,27.44590371
