Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",Percent of GDP,17.2251622717913,16.2799270429662,14.6147014663991,15.0646162585285,16.035178168675,14.2334095707877,16.6809610111114,19.7012024788641,16.0522194405281,14.7051846643604,14.4059332186855,14.3544702248594,14.4997945233121,14.5228572675763,14.5584702380282,14.6093558377139
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFT,Total Implicit and Explicit,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit",USD at constant 2021 prices,22320533820.0,19934224440.0,19377082840.0,22338688860.0,23646596190.0,19130983470.0,22713964180.0,29152066320.0,24365021800.0,22911707070.0,23036527810.0,23562432240.0,24431573780.0,25118733930.0,25847399230.0,26624966640.0
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",Percent of GDP,1.81272402260799,2.0944067680979,2.04693269228581,1.94484872305799,2.23970208656852,2.33839475704752,2.42282670030184,2.0320974130066,2.40124518071495,2.39580297034151,2.58268954787068,2.75185929136688,2.91363249275947,3.01303467564755,3.0923945336878,3.16879708361226
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit -  Natural Gas,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTN,Total Implicit and Explicit; Natural Gas,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Natural Gas",USD at constant 2021 prices,2348945526.0,2564530816.0,2713951047.0,2883934762.0,3302821476.0,3143013009.0,3299090433.0,3006914863.0,3644754010.0,3732828734.0,4129978856.0,4517094471.0,4909354205.0,5211344775.0,5490299103.0,5775005933.0
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",Percent of GDP,0.0,0.0,0.0,0.0,2.62534668773353e-07,2.87874323892001e-07,2.85143977615722e-07,2.64345040582276e-07,2.62760728920981e-07,2.60777757096921e-07,2.5830529672941e-07,2.5562087640956e-07,2.538273905612e-07,2.51953630897317e-07,2.50008448705095e-07,2.47956608101138e-07
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTC,Total Implicit and Explicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Coal",USD at constant 2021 prices,0.0,0.0,0.0,0.0,387.152,386.929,388.272,391.154,398.834,406.31,413.056,419.594,427.689,435.779,443.87,451.891
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",Percent of GDP,4.95148289762297,3.71220773703062,3.36153220119502,3.92574346260409,3.88912434646395,4.06412488598234,4.08109540931356,3.14762741010063,3.03746499545413,2.79124109443093,2.6183069263961,2.60861038703114,2.74078319188586,2.78814137893154,2.85852249495894,2.94081452487297
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTT,Total Implicit and Explicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Electricity",USD at constant 2021 prices,6416179989.0,4545473822.0,4456929078.0,5821320653.0,5735175000.0,5462549618.0,5557105186.0,4657575755.0,4610446618.0,4348949012.0,4186934606.0,4281955692.0,4618110047.0,4822369329.0,5075078008.0,5359516839.0
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",Percent of GDP,10.4293705730892,10.4368197355457,9.17057096705704,9.16013715974197,9.90635146846413,7.83088963536668,10.1770386143486,14.5214773908401,10.6135089995125,9.5181403338746,9.20493648927522,8.99400029242082,8.84537858465483,8.72168096091582,8.60755295648354,8.49974397791996
Kuwait,KW,KWT,Fossil Fuel Subsidies - Total Implicit and Explicit - Petroleum,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTP,Total Implicit and Explicit; Petroleum,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Petroleum",USD at constant 2021 prices,13514480440.0,12779535590.0,12158915030.0,13583183960.0,14608599320.0,10525420450.0,13857768170.0,21487575310.0,16109820770.0,14829928910.0,14719613940.0,14763381660.0,14904109100.0,15085019390.0,15282021670.0,15490443410.0
